normalization,standardization,image_type,channel_image,image_resize_x,image_resize_y,Image_path,color_ratio
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\Layers_1and2\BOULDERxFISH01_colorcontrolOFF_1vs1e3_TVlossON_1e-3_layers1and2.png,0.5980421698304225
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\SAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6208defWB.jpg,0.7940179085039918
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\PLANTS_cropped_3000x1000_middle_tt_resized_div1_5_52A5711defWB.jpg,0.857267908877094
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\GRAVEL_cropped_3000x1000_middle_tt_resized_div1_5_52A5680defWB.jpg,0.772389583056365
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\GRAVELxFLOOR_cropped_3000x1000_middle_tt_resized_div1_5_52A5809defWB.jpg,0.762002845824972
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\GRAVELxALGAE_cropped_3000x1000_middle_tt_resized_div1_5_52A5807defWB.jpg,0.7709134341248456
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\DETRITUS_cropped_3000x1000_middle_tt_resized_div1_5_52A7724defWB.jpg,0.6485180951921757
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\BOULDER_cropped_3000x1000_middle_tt_resized_div1_5_52A5691defWB.jpg,0.8163222370815231
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\HABITAT_images\BOULDERxSAND_Eolmstedi_cropped_3000x1000_middle_tt_resized_div1_5_52A6174defWB.jpg,0.7598097913223595
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\FISH_images\FISH10_cropped_3000x1000_CAER_REDR_M10.jpg,0.9426075956795721
False,False,DARTER,ALL,,,C:\Users\alexd\CEFE\Images\StyleTransferImages\FISH_images\FISH09_cropped_3000x1000_CAER_REDR_M09.jpg,0.9072093688144606
